stype,n,variant,seed,total_area_px,mean_radius,n_circles,path
A,25,3,71,24476.1,16.68,25,stimuli/dot_tA_n25_v3_s71.png
A,25,4,71,26025.0,17.12,25,stimuli/dot_tA_n25_v4_s71.png
A,25,5,71,21444.5,15.36,25,stimuli/dot_tA_n25_v5_s71.png
A,25,6,71,21353.4,15.64,25,stimuli/dot_tA_n25_v6_s71.png
A,25,7,71,16713.3,13.6,25,stimuli/dot_tA_n25_v7_s71.png
A,25,8,71,17658.9,13.72,25,stimuli/dot_tA_n25_v8_s71.png
A,25,9,71,24721.2,16.6,25,stimuli/dot_tA_n25_v9_s71.png
A,30,0,71,22610.0,14.57,30,stimuli/dot_tA_n30_v0_s71.png
A,30,1,71,22465.5,14.3,30,stimuli/dot_tA_n30_v1_s71.png
A,30,2,71,21507.3,13.93,30,stimuli/dot_tA_n30_v2_s71.png
A,30,3,71,25380.9,15.7,30,stimuli/dot_tA_n30_v3_s71.png
A,30,4,71,20417.2,13.23,30,stimuli/dot_tA_n30_v4_s71.png
A,30,5,71,24240.5,14.73,30,stimuli/dot_tA_n30_v5_s71.png
A,30,6,71,18180.4,12.97,30,stimuli/dot_tA_n30_v6_s71.png
A,30,7,71,19587.8,13.7,30,stimuli/dot_tA_n30_v7_s71.png
A,30,8,71,22239.3,14.37,30,stimuli/dot_tA_n30_v8_s71.png
A,30,9,71,21582.7,14.13,30,stimuli/dot_tA_n30_v9_s71.png
A,40,0,71,27947.6,14.15,40,stimuli/dot_tA_n40_v0_s71.png
A,40,1,71,23376.6,12.82,40,stimuli/dot_tA_n40_v1_s71.png
A,40,2,71,23734.7,12.97,40,stimuli/dot_tA_n40_v2_s71.png
A,40,3,71,22330.4,12.45,40,stimuli/dot_tA_n40_v3_s71.png
A,40,4,71,17410.7,11.0,40,stimuli/dot_tA_n40_v4_s71.png
A,40,5,71,23247.8,12.85,40,stimuli/dot_tA_n40_v5_s71.png
A,40,6,71,22273.9,12.5,40,stimuli/dot_tA_n40_v6_s71.png
A,40,7,71,20464.3,12.0,40,stimuli/dot_tA_n40_v7_s71.png
A,40,8,71,23995.5,13.0,40,stimuli/dot_tA_n40_v8_s71.png
A,40,9,71,22610.0,12.43,40,stimuli/dot_tA_n40_v9_s71.png
